,name,DM,drift,drift_error,amplitude,xo,yo,sigmax,sigmay,theta,amp_error,xo_error,yo_error,sigmax_error,sigmay_error,angle_error
72,3.0,557.0487894736842,-1677.1642952160853,0.9182793787744798,184.50872889861088,512.495368020248,512.3444516456958,171.18653521490293,19.141516255713803,4.8031188893040815,0.05692999710193552,0.007580913109887522,0.05259657105380252,0.05290510585142455,0.005904223608207391,4.9404179737875994e-05
73,4.0,557.0487894736842,-886.3065062915686,14.00864851861871,4.150145764528441,512.3923869850812,512.1284005229049,163.1393626297204,26.530873850422925,1.7412865543169127,0.0464516010992075,0.4253722495648207,1.797035731096415,1.8239907031092641,0.2964967432749578,0.0026427933071371578
74,5.0,557.0487894736842,-1363.6948081951166,28.064907758705075,5.512971753377759,512.4764164600485,512.651240691874,37.20020123739182,168.07974678124444,3.2530221529052783,0.038140125358233926,0.2863053934877512,1.154825362123554,0.25695561985074916,1.163219210709629,0.0022742891851165637
75,6.0,557.0487894736842,-2513.603554774663,1.8832955098726532,154.57530269235215,512.4939852972626,511.90847495671693,158.70844324926696,12.25282763936424,1.6314267595287908,0.06376815963746901,0.006418633654260473,0.06535291068795479,0.06550769081281403,0.00505491437836101,4.5315576512476995e-05
76,7.0,557.0487894736842,-776.4302368749832,0.48874555376490086,269.79569989317775,512.4966402879413,512.4697795910661,103.4764559999264,38.54005722426308,4.906440895645986,0.05254358455485605,0.008327461986721386,0.019826918712557002,0.02015227896712949,0.007505929805825876,0.00011910787400800116
77,8.0,557.0487894736842,-311.552147084074,0.05506695252445637,245.99868216803566,512.4947524742246,512.4935163263702,174.1857879180107,63.71491513886266,2.026223893950041,0.028760340600693716,0.011178603665742996,0.018578684552571886,0.020373948654799124,0.007448190456244079,6.981888991275677e-05
78,11.0,557.0487894736842,-814.1241069997518,4.374503513631216,11.939617247146849,512.498491836877,512.4391956261258,183.95841342214055,39.29307600743951,1.756072629730853,0.03671232067994693,0.15787673407009456,0.5562010964751689,0.5677311065324285,0.12071195644985228,0.0009729115674756515
79,12.0,557.0487894736842,-796.043520048537,0.6770187231201641,82.47325568209664,512.4981365042663,512.4448584113583,139.71113392776653,28.356416315618876,1.7601819865842552,0.043320183086612354,0.020119555220313716,0.07212355066259507,0.073382961725536,0.014893910306573215,0.00015724480311229462
80,13.0,557.0487894736842,-746.5350216110634,0.13483359996772956,927.4373574928002,512.4988574328331,512.4667878712593,142.83028996110042,40.17726449930552,1.7724140806221784,0.07607754528216257,0.003991304511472023,0.01149774110104789,0.01171661320738065,0.003295666441119587,3.5435858679407135e-05
81,14.0,557.0487894736842,-1893.9655668013795,0.49323044233259344,328.57080543608413,512.4972493619483,512.2100797005287,161.57752740426312,11.431049816387379,4.792780638827611,0.06811977560225918,0.003579705002906936,0.033388228610907046,0.033519878600935284,0.002369574431423384,2.0845676309776863e-05
82,15.0,557.0487894736842,-290.8247168063582,0.16523640565821018,520.4990868114176,512.4837724476874,512.4923830693813,66.88423540024968,46.82157430092516,2.053986986639655,0.06267416324682766,0.006239106000446279,0.007597836247291531,0.008053996319068765,0.0056379696779017266,0.0002337529049182332
83,16.0,557.0487894736842,-844.9968659620642,0.0670194840066935,2591.1285658093234,512.4987618857841,512.4874663429333,126.0743738853968,46.1896182879566,1.7494491224371662,0.06005243412733369,0.0011744653405943233,0.0028816441528447044,0.0029218683976766423,0.0010704933053122447,1.3869962437768244e-05
84,1.0,557.6379473684211,-855.6016875361703,0.13002538604155764,1816.4719072344822,512.4991864014663,512.4836193559422,174.83860074715074,46.869333528737464,1.7472807674946018,0.11683370012121931,0.0035631038188147987,0.011081070952609578,0.01126639484612408,0.0030132081764766673,2.6266806983418117e-05
